field_path,occurrences,approx_bytes,file_count,classification,example_files
CVE-2020-13164.diagnostic_all_tags[].diagnostic_all_tags,4,56980,2,audit_only,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
selected_anchors[].rationale,184,55826,72,keep_in_model_view,szz10:CVE-2020-11869/parsed_selection.json | szz10:CVE-2020-11869/parsed_selection.json | szz10:CVE-2020-11869/parsed_selection.json
results[].ingestion_result.details.structural_validation.packet_index.fix_commits,29,54433,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.fix_commits,29,54433,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.fix_commits,29,54433,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
CVE-2020-8231,4,51417,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
repo_navigation[].source_refs,111,50925,30,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json
cases.CVE-2020-13904,2,50778,2,keep_in_model_view,version30:schema_diagnostics.json | judge30:fallback_ranked_candidates.json
results[].ingestion_result.details.structural_validation.packet_index.hunk_to_functions,29,50104,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.hunk_to_functions,29,50104,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.hunk_to_functions,29,50104,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
results[].ingestion_result.details.structural_validation.packet_index.hunk_to_fix,29,47661,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.hunk_to_fix,29,47661,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.hunk_to_fix,29,47661,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
root_cause_hypotheses,29,46522,29,keep_in_model_view,rootcause30:CVE-2020-10251/parsed_output.json | rootcause30:CVE-2020-10702/parsed_output.json | rootcause30:CVE-2020-11647/parsed_output.json
CVE-2020-11647.diagnostic_all_tags[].false_positive_taxonomy,3,45449,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
[].function_id,463,45088,87,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
CVE-2021-23840.diagnostic_all_tags,2,43843,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
[].anchor_id,463,42463,87,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
patch_evidence[].content.added_lines,156,42059,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json
repo_navigation[].source_refs[].snippet,81,41628,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-11647/root_cause_packet.json
results[].ingestion_result.details.structural_validation.packet_index.hunk_to_file,29,41424,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.hunk_to_file,29,41424,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.hunk_to_file,29,41424,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
candidates[].cve_id,2520,39596,137,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
[].patch_hunk_id,463,39594,87,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
git_trace[].anchor_id,485,39480,40,keep_in_model_view,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json
[].predicate_ids,463,39459,87,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
patch_evidence[].id,428,38514,30,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json
git_observations[].function_ids,194,38228,30,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json
results[].ingestion_result.details.structural_validation.observation_payloads[].function_ids,191,38222,1,wrapper_owned_not_model_output,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.observation_payloads[].function_ids,191,38222,29,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json
observation_payloads[].function_ids,191,38222,29,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json
CVE-2020-13164.release_tag_universe[].predicted_tags,4,37722,2,keep_in_model_view,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-13164.release_tag_universe[].reachable_release_tags,4,37722,2,keep_in_model_view,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
cases.CVE-2020-15466,2,37631,2,keep_in_model_view,version30:schema_diagnostics.json | judge30:fallback_ranked_candidates.json
CVE-2020-13164.diagnostic_all_tags.top1.false_positive_taxonomy,2,37562,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
