cve_id,repo_id,fix_commit_sha,status,reason,parent_count,all_parents_resolve,is_merge,reachable_from_indexed_refs,reachability_basis,containing_ref_count
CVE-2020-22022,FFmpeg,07bc7b2c075f510e344b49416adaf13b9a896a81,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22022,FFmpeg,25b2341f9a36f367ec9c50e859b0053d64675603,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22022,FFmpeg,c72ed4f3ebffbd5ed9713caf694dc8687a35d1c0,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22022,FFmpeg,07050d7bdc32d82e53ee5bb727f5882323d00dba,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22023,FFmpeg,72bc9bd8ef493bd43db2f1dd92ddb1cb0b1f00b0,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22023,FFmpeg,0b567238741854b41f84f7457686b044eadfe29c,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22023,FFmpeg,69f5d4b7fdcb93c2948255193870f5ea7605028c,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22023,FFmpeg,c1ce4fba515628096efb93247f5f24a62a91ba64,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22023,FFmpeg,ab0b268bb78ccd5ba4411594ae74a368ad2186e1,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22024,FFmpeg,723d69f99cd26db9687ed2d24d06afaff624daf3,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22025,FFmpeg,ccf4ab8c9aca0aee66bcc2914031a9c97ac0eeb8,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22025,FFmpeg,ff73a50456b93e8d555603c093a3ebd193d0b097,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22025,FFmpeg,ff1c55c91355257f66049fc9caba7953c1c2288f,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22025,FFmpeg,3ee76a3ddb6773eb3adee5f9fcd5848d26509689,resolved,,1,True,False,True,commit_node_from_git_log_all,
